,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
83,atar,100,MR,1619922300,19,20.5169,-13.0499,27.23,2.23
84,stornoway,100,GB,1619922301,87,58.2093,-6.3865,3.33,1.03
85,baykit,98,RU,1619922302,81,61.67,96.37,2.51,2.44
86,east london,0,ZA,1619922304,68,-33.0153,27.9116,15.47,2.28
87,san ignacio,0,BZ,1619922305,65,17.1561,-89.0714,29.0,4.12
88,effingham,1,US,1619922307,67,32.3669,-81.3332,19.0,2.06
89,saint george,1,US,1619922061,8,37.1041,-113.5841,29.44,7.72
90,babu,100,CN,1619922309,68,24.4167,111.5167,28.55,1.35
91,alice springs,22,AU,1619922108,20,-23.7,133.8833,29.0,3.09
92,sorland,100,NO,1619922311,57,67.667,12.6934,2.46,5.12
93,leningradskiy,100,RU,1619922313,91,69.3833,178.4167,-7.92,8.63
94,nikolskoye,0,RU,1619922314,75,59.7035,30.7861,2.78,2.0
95,ponta do sol,100,PT,1619922315,67,32.6667,-17.1,13.89,0.89
96,saskylakh,100,RU,1619922317,99,71.9167,114.0833,0.63,1.1
97,hasaki,20,JP,1619922318,45,35.7333,140.8333,20.0,7.72
98,marawi,6,PH,1619922319,79,7.9986,124.2928,28.89,1.79
99,pokrovskoye,100,RU,1619922320,100,47.4157,38.8971,10.56,1.79
100,kulhudhuffushi,94,MV,1619922322,69,6.6221,73.07,28.89,1.63
101,airai,92,TL,1619922323,48,-8.9266,125.4092,21.28,1.64
102,kayalpattinam,55,IN,1619922324,72,8.5667,78.1167,28.48,0.47
103,copiapo,18,CL,1619921967,82,-27.3667,-70.3333,13.0,3.09
104,aguimes,40,ES,1619922327,63,27.9054,-15.4461,19.0,5.66
105,atambua,97,ID,1619922063,56,-9.1061,124.8925,27.05,1.74
106,san patricio,40,US,1619922329,94,28.017,-97.5169,21.11,2.57
107,saint anthony,1,US,1619922330,22,45.0205,-93.218,27.0,2.06
108,riyadh,0,SA,1619922313,19,24.6877,46.7219,25.0,1.36
109,takoradi,100,GH,1619922333,82,4.8845,-1.7554,27.0,1.96
110,vanimo,32,PG,1619922334,75,-2.6741,141.3028,28.97,1.86
111,vardo,99,NO,1619922335,65,70.3705,31.1107,0.54,7.11
112,tuatapere,19,NZ,1619922337,80,-46.1333,167.6833,15.0,4.02
113,hosakote,5,IN,1619922338,54,14.2769,77.1699,27.95,3.87
114,vila franca do campo,75,PT,1619922339,100,37.7167,-25.4333,16.0,5.66
115,bethel,1,US,1619922340,53,41.3712,-73.414,10.0,1.3
116,pisco,14,PE,1619922342,83,-13.7,-76.2167,20.0,3.09
117,chuy,0,UY,1619922343,86,-33.6971,-53.4616,15.9,2.92
118,codrington,94,AU,1619922344,57,-38.2667,141.9667,19.65,5.91
119,trud,75,BG,1619922346,88,42.2333,24.7333,17.0,2.06
120,bethanien,0,NA,1619922347,35,-26.502,17.1583,13.63,3.07
121,carnarvon,100,AU,1619922348,60,-24.8667,113.6333,22.0,5.14
122,tukrah,54,LY,1619922350,19,32.5341,20.5791,29.07,8.02
123,altamont,1,US,1619922351,44,42.2068,-121.7372,14.0,10.29
124,konakovo,62,RU,1619922352,82,56.7,36.7667,1.56,0.9
125,sabha,100,LY,1619922354,6,27.0377,14.4283,26.36,6.19
126,inirida,63,CO,1619922355,97,3.8653,-67.9239,22.37,0.43
127,tuktoyaktuk,90,CA,1619922356,86,69.4541,-133.0374,-8.0,2.06
